Name,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_K%,MarApr_BB%,MarApr_BABIP,MarApr_ISO,MarApr_AVG,MarApr_SLG,MarApr_OBP,FullSeason_AVG
"McCutchen, Andrew",98,86,21,3,18.4,11.2,0.273,0.163,0.244,0.407,0.327,0.279
"Simmons, Andrelton",106,95,27,3,13.2,10.4,0.308,0.116,0.284,0.4,0.358,0.278
"Hosmer, Eric",96,89,20,1,14.6,7.3,0.257,0.067,0.225,0.292,0.281,0.318
"Mercer, Jordy",90,82,18,2,14.4,8.9,0.239,0.085,0.22,0.305,0.289,0.255
"Franco, Maikel",99,89,19,4,13.1,8.1,0.203,0.169,0.213,0.382,0.273,0.23
"Cabrera, Asdrúbal",97,90,22,2,16.5,7.2,0.278,0.089,0.244,0.333,0.299,0.28
"Swanson, Dansby",95,90,14,2,25.3,5.3,0.188,0.078,0.156,0.233,0.2,0.232
"Renfroe, Hunter",104,102,22,5,26.9,1.9,0.246,0.176,0.216,0.392,0.231,0.231
"Plouffe, Trevor",91,82,17,4,33,8.8,0.265,0.159,0.207,0.366,0.275,0.198
"Haniger, Mitch",95,79,27,4,21.1,13.7,0.418,0.266,0.342,0.608,0.447,0.282
"Braun, Ryan",98,87,25,7,22.4,11.2,0.31,0.299,0.287,0.586,0.367,0.268
"Votto, Joey",102,90,23,8,12.7,8.8,0.211,0.322,0.256,0.578,0.324,0.32
"Benintendi, Andrew",102,90,30,3,14.7,7.8,0.365,0.144,0.333,0.478,0.392,0.271
"Duvall, Adam",96,89,22,7,24,6.3,0.25,0.303,0.247,0.551,0.292,0.249
"Dozier, Brian",100,91,22,2,16,9,0.274,0.121,0.242,0.363,0.31,0.271
"Herrera, Odúbel",92,84,22,3,22.8,8.7,0.317,0.155,0.262,0.417,0.326,0.281
"Peralta, David",102,92,30,3,18.6,7.8,0.38,0.185,0.326,0.511,0.382,0.293
"Puig, Yasiel",103,89,21,5,17.5,11.7,0.235,0.202,0.236,0.438,0.32,0.263
"Dickerson, Corey",94,88,29,6,19.1,6.4,0.359,0.307,0.33,0.636,0.372,0.282
"Freeman, Freddie",97,84,32,9,16.5,12.4,0.39,0.417,0.381,0.798,0.464,0.307
"Gardner, Brett",86,73,15,2,25.6,14,0.265,0.123,0.205,0.329,0.318,0.264
"Holliday, Matt",82,65,17,4,25.6,19.5,0.317,0.231,0.262,0.492,0.402,0.231
"Judge, Aaron",89,76,23,10,27,13.5,0.31,0.447,0.303,0.75,0.404,0.284
"Odor, Rougned",102,97,19,4,20.6,2.9,0.208,0.175,0.196,0.371,0.235,0.204
"Healy, Ryon",98,94,23,3,26.5,4.1,0.308,0.17,0.245,0.415,0.276,0.271
"Springer, George",95,87,20,7,24.2,7.4,0.228,0.264,0.23,0.494,0.295,0.283
"Betts, Mookie",90,82,24,2,7.8,8.9,0.301,0.146,0.293,0.439,0.356,0.264
"Choo, Shin-Soo",87,73,20,3,18.4,16.1,0.315,0.164,0.274,0.438,0.391,0.261
"Murphy, Daniel",108,105,36,5,11.1,2.8,0.352,0.248,0.343,0.59,0.361,0.322
"Ozuna, Marcell",97,88,26,6,26.8,8.2,0.351,0.239,0.295,0.534,0.351,0.312
"Saunders, Michael",81,78,19,1,24.7,2.5,0.316,0.115,0.244,0.359,0.272,0.202
"Bour, Justin",91,81,18,4,23.1,9.9,0.246,0.185,0.222,0.407,0.297,0.289
"Walker, Neil",98,87,17,2,16.3,9.2,0.211,0.115,0.195,0.31,0.265,0.265
"Abreu, José",90,82,23,2,18.9,6.7,0.333,0.159,0.28,0.439,0.344,0.304
"González, Carlos",98,88,19,2,19.4,8.2,0.246,0.125,0.216,0.341,0.276,0.262
"Inciarte, Ender",104,100,23,4,17.3,3.8,0.244,0.17,0.23,0.4,0.26,0.304
"Zobrist, Ben",86,74,16,3,18.6,12.8,0.236,0.176,0.216,0.392,0.326,0.232
"Piscotty, Stephen",87,70,16,2,17.2,16.1,0.259,0.143,0.229,0.371,0.368,0.235
"Altuve, Jose",100,89,29,3,23,9,0.406,0.146,0.326,0.472,0.39,0.346
"Saladino, Tyler",81,68,15,0,29.6,9.9,0.341,0.074,0.221,0.294,0.329,0.178
"Bruce, Jay",100,89,26,7,16,11,0.288,0.292,0.292,0.584,0.37,0.254
"Zimmerman, Ryan",96,88,37,11,20.8,6.3,0.448,0.466,0.42,0.886,0.458,0.303
"Turner, Justin",99,89,36,1,9.1,5.1,0.443,0.157,0.404,0.562,0.465,0.322
"Trumbo, Mark",100,94,19,2,23,6,0.246,0.096,0.202,0.298,0.25,0.234
"Drury, Brandon",92,85,27,1,19.6,7.6,0.394,0.118,0.318,0.435,0.37,0.267
"Strange-Gordon, Dee",102,98,28,0,16.7,2.9,0.346,0.071,0.286,0.357,0.314,0.308
"Beltrán, Carlos",92,87,21,2,22.8,3.3,0.297,0.103,0.241,0.345,0.283,0.231
"Espinosa, Danny",96,88,15,3,35.4,4.2,0.231,0.136,0.17,0.307,0.229,0.173
"Heyward, Jason",94,86,24,3,17,7.4,0.313,0.128,0.279,0.407,0.34,0.259
"Davis, Chris",92,80,19,3,35.9,12,0.364,0.175,0.238,0.413,0.337,0.215
"González, Adrián",94,85,22,0,14.9,9.6,0.31,0.059,0.259,0.318,0.33,0.242
"Solarte, Yangervis",109,99,28,2,11,4.6,0.302,0.111,0.283,0.394,0.339,0.255
"Galvis, Freddy",90,85,23,3,18.9,2.2,0.303,0.2,0.271,0.471,0.292,0.255
"Martin, Russell",79,64,14,3,27.8,17.7,0.282,0.172,0.219,0.391,0.367,0.221
"Andrus, Elvis",99,95,26,3,15.2,4,0.299,0.168,0.274,0.442,0.303,0.297
"Grichuk, Randal",89,83,20,3,29.2,6.7,0.315,0.181,0.241,0.422,0.292,0.238
"Morrison, Logan",91,78,19,5,17.6,13.2,0.246,0.218,0.244,0.462,0.352,0.246
"Bell, Josh",81,70,18,4,19.8,13.6,0.28,0.2,0.257,0.457,0.358,0.255
"Peraza, José",97,93,21,0,12.4,2.1,0.259,0.032,0.226,0.258,0.258,0.259
"Santana, Domingo",84,71,14,5,23.8,13.1,0.191,0.268,0.197,0.465,0.31,0.278
"Werth, Jayson",81,71,20,3,25.9,11.1,0.362,0.155,0.282,0.437,0.37,0.226
"Moustakas, Mike",89,85,23,7,20.2,4.5,0.267,0.282,0.271,0.553,0.303,0.272
"Harrison, Josh",90,79,24,2,12.2,4.4,0.328,0.127,0.304,0.43,0.378,0.272
"Ramirez, Hanley",86,79,20,3,17.4,8.1,0.279,0.152,0.253,0.405,0.314,0.242
"Reyes, José",96,86,15,2,17.7,10.4,0.194,0.128,0.174,0.302,0.26,0.246
"Pedroia, Dustin",85,76,22,0,10.6,9.4,0.324,0.013,0.289,0.303,0.353,0.293
"Kepler, Max",87,75,21,2,18.4,11.5,0.328,0.187,0.28,0.467,0.368,0.243
"Ellsbury, Jacoby",91,83,23,3,17.6,6.6,0.313,0.133,0.277,0.41,0.333,0.264
"Schebler, Scott",91,82,20,8,22,8.8,0.222,0.354,0.244,0.598,0.319,0.233
"Mauer, Joe",85,80,18,0,7.1,5.9,0.243,0.05,0.225,0.275,0.271,0.305
"Valencia, Danny",81,72,13,1,22.2,9.9,0.222,0.125,0.181,0.306,0.259,0.256
"Anderson, Tim",97,93,19,2,24.7,3.1,0.254,0.097,0.204,0.301,0.237,0.257
"Upton, Justin",81,69,20,5,27.2,13.6,0.357,0.275,0.29,0.565,0.395,0.273
"Polanco, Gregory",86,77,19,0,15.1,9.3,0.297,0.091,0.247,0.338,0.326,0.251
"Motter, Taylor",77,71,16,5,27.3,7.8,0.244,0.31,0.225,0.535,0.286,0.198
"Joyce, Matt",74,66,11,2,20.3,6.8,0.176,0.121,0.167,0.288,0.23,0.243
"Polanco, Jorge",89,79,20,1,9,9,0.264,0.101,0.253,0.354,0.315,0.256
"Owings, Chris",96,90,28,4,20.8,6.3,0.364,0.2,0.311,0.511,0.354,0.268
"Rosario, Eddie",86,82,22,2,18.6,3.5,0.313,0.098,0.268,0.366,0.294,0.29
"Brantley, Michael",84,78,24,5,21.4,6,0.345,0.244,0.308,0.551,0.357,0.299
"Tomás, Yasmany",91,86,25,5,26.4,4.4,0.345,0.291,0.291,0.581,0.319,0.241
"Aybar, Erick",93,82,18,2,14,9.7,0.235,0.122,0.22,0.341,0.301,0.234
"Travis, Devon",83,77,10,1,19.3,7.2,0.15,0.065,0.13,0.195,0.193,0.259
"Cervelli, Francisco",83,74,15,2,16.9,9.6,0.224,0.189,0.203,0.392,0.289,0.249
"Grandal, Yasmani",84,71,16,3,22.6,13.1,0.26,0.183,0.225,0.408,0.325,0.247
"Beckham, Tim",86,81,22,4,33.7,4.7,0.375,0.222,0.272,0.494,0.306,0.278
"Hedges, Austin",87,79,16,6,27.6,5.7,0.2,0.266,0.203,0.468,0.256,0.214
"Núñez, Eduardo",97,92,23,0,6.2,4.1,0.264,0.043,0.25,0.293,0.278,0.313
"Cabrera, Melky",85,77,20,1,12.9,8.2,0.288,0.091,0.26,0.351,0.318,0.285
"Frazier, Todd",70,60,11,3,20,11.4,0.182,0.233,0.183,0.417,0.286,0.213
"Smoak, Justin",82,77,21,4,23.2,4.9,0.309,0.234,0.273,0.506,0.305,0.27
"Céspedes, Yoenis",75,63,17,6,18.7,14.7,0.25,0.349,0.27,0.619,0.373,0.292
"Bogaerts, Xander",80,73,23,0,12.5,8.8,0.365,0.041,0.315,0.356,0.375,0.273
"Buxton, Byron",78,68,10,0,37.2,11.5,0.256,0.029,0.147,0.176,0.256,0.253
"Dyson, Jarrod",94,83,19,0,9.6,5.3,0.25,0.036,0.229,0.265,0.298,0.251
"Arcia, Orlando",83,81,20,3,22.9,2.4,0.288,0.185,0.247,0.432,0.265,0.277
"Escobar, Alcides",86,82,14,0,20.9,3.5,0.219,0.049,0.171,0.22,0.2,0.25
"Alonso, Yonder",75,68,19,4,22.7,9.3,0.319,0.235,0.279,0.515,0.347,0.266
"Reddick, Josh",81,74,22,1,16,6.2,0.339,0.122,0.297,0.419,0.333,0.314
"García, Avisaíl",93,87,32,5,22.6,5.4,0.443,0.253,0.368,0.621,0.409,0.33
"Perez, Salvador",85,81,22,6,18.8,3.5,0.267,0.272,0.272,0.543,0.294,0.268
"Maybin, Cameron",76,68,14,1,19.7,10.5,0.25,0.074,0.206,0.279,0.289,0.228
"Schoop, Jonathan",89,80,23,5,16.9,3.4,0.286,0.25,0.288,0.538,0.326,0.293
"McCann, Brian",78,68,19,3,12.8,11.5,0.286,0.147,0.279,0.426,0.359,0.241
"Broxton, Keon",75,68,13,1,41.3,6.7,0.333,0.132,0.191,0.324,0.267,0.22
"Grossman, Robbie",75,60,16,1,17.3,20,0.326,0.117,0.267,0.383,0.413,0.246
"Zunino, Mike",70,64,11,0,35.7,5.7,0.282,0.063,0.172,0.234,0.243,0.251
"Realmuto, J.T.",79,76,26,2,8.9,2.5,0.358,0.132,0.342,0.474,0.367,0.278
"Bird, Greg",68,56,6,1,30.9,14.7,0.147,0.107,0.107,0.214,0.265,0.19
"Freese, David",67,56,18,3,11.9,14.9,0.326,0.214,0.321,0.536,0.418,0.263
"Wieters, Matt",83,73,22,4,15.7,10.8,0.321,0.233,0.301,0.534,0.386,0.225
"Sandoval, Pablo",67,61,13,3,19.4,7.5,0.217,0.164,0.213,0.377,0.269,0.22
"Almonte, Abraham",69,57,17,1,26.1,15.9,0.421,0.14,0.298,0.439,0.42,0.233
"Crawford, Brandon",81,76,20,2,14.8,3.7,0.281,0.171,0.263,0.434,0.284,0.253
"Castro, Jason",71,60,12,2,26.8,15.5,0.256,0.133,0.2,0.333,0.324,0.242
"Carrera, Ezequiel",68,64,20,1,19.1,2.9,0.38,0.094,0.313,0.406,0.333,0.282
"Moss, Brandon",68,60,10,4,35.3,10.3,0.182,0.2,0.167,0.367,0.25,0.207
"Parra, Gerardo",78,74,21,3,20.5,3.8,0.327,0.149,0.284,0.432,0.321,0.309
"Contreras, Willson",72,66,16,2,29.2,6.9,0.326,0.152,0.242,0.394,0.306,0.276
"Toles, Andrew",76,71,17,5,15.8,5.3,0.222,0.225,0.239,0.465,0.289,0.271
"Gyorko, Jedd",67,60,20,4,25.4,9,0.41,0.317,0.333,0.65,0.403,0.272
"Rupp, Cameron",64,54,12,1,31.3,12.5,0.324,0.185,0.222,0.407,0.328,0.217
"Hardy, J.J.",81,77,15,1,21,3.7,0.237,0.078,0.195,0.273,0.225,0.217
"Wong, Kolten",74,66,17,1,13.5,8.1,0.291,0.197,0.258,0.455,0.329,0.285
"Norris, Derek",75,70,13,1,24,2.7,0.226,0.071,0.186,0.257,0.213,0.201
"Díaz, Aledmys",94,92,20,4,9.6,2.1,0.203,0.174,0.217,0.391,0.234,0.259
"Conforto, Michael",65,56,18,6,21.5,9.2,0.316,0.339,0.321,0.661,0.385,0.279
"Collins, Tyler",70,65,19,1,21.4,7.1,0.367,0.092,0.292,0.385,0.343,0.193
"Posey, Buster",73,65,23,1,13.7,9.6,0.407,0.077,0.354,0.431,0.425,0.32
"McCann, James",65,55,9,5,20,13.8,0.105,0.273,0.164,0.436,0.277,0.253
"Gonzalez, Marwin",65,54,11,5,21.5,12.3,0.171,0.296,0.204,0.5,0.317,0.303
"Maldonado, Martín",72,61,16,0,27.8,8.3,0.39,0.049,0.262,0.311,0.357,0.221
"Turner, Trea",66,63,20,2,22.7,4.5,0.391,0.238,0.317,0.556,0.348,0.284
"Joseph, Tommy",72,67,12,1,27.8,5.6,0.234,0.075,0.179,0.254,0.222,0.24
"Pederson, Joc",59,50,11,1,30.5,11.9,0.313,0.12,0.22,0.34,0.322,0.212
"Gurriel, Yuli",82,79,26,2,13.4,1.2,0.364,0.152,0.329,0.481,0.354,0.299
"Molina, Yadier",78,71,19,1,15.4,3.8,0.295,0.099,0.268,0.366,0.295,0.273
"Vogt, Stephen",65,62,13,1,18.5,3.1,0.24,0.113,0.21,0.323,0.231,0.233
"Jankowski, Travis",59,50,8,0,35.6,11.9,0.276,0.02,0.16,0.18,0.263,0.187
"Pérez, Hernán",69,61,16,3,17.4,10.1,0.277,0.295,0.262,0.557,0.333,0.259
"Aoki, Norichika",66,60,18,1,13.6,6.1,0.333,0.083,0.3,0.383,0.338,0.277
"Phillips, Brandon",80,76,27,2,11.3,2.5,0.385,0.145,0.355,0.5,0.388,0.285
"Hicks, Aaron",57,44,13,4,12.3,19.3,0.265,0.318,0.295,0.614,0.429,0.266
"Díaz, Yandy",61,55,13,0,23,8.2,0.31,0.018,0.236,0.255,0.295,0.263
"Forsythe, Logan",54,44,13,0,29.6,11.1,0.448,0.045,0.295,0.341,0.407,0.224
"Castillo, Welington",72,70,22,1,23.6,2.8,0.404,0.129,0.314,0.443,0.333,0.282
"Cron, C.J.",65,60,14,0,18.5,3.1,0.286,0.033,0.233,0.267,0.277,0.248
"Marte, Starling",59,54,13,2,28.8,5.1,0.306,0.13,0.241,0.37,0.288,0.275
"Hernández, Gorkys",57,52,8,0,24.6,7,0.211,0.038,0.154,0.192,0.228,0.255
"Davidson, Matt",54,49,14,4,38.9,7.4,0.4,0.327,0.286,0.612,0.333,0.22
"Young, Chris",62,54,13,0,17.7,12.9,0.302,0.037,0.241,0.278,0.339,0.235
"Rosales, Adam",61,54,14,2,31.1,4.9,0.353,0.148,0.259,0.407,0.305,0.225
"Gomes, Yan",59,51,9,1,20.3,8.5,0.211,0.098,0.176,0.275,0.276,0.232
"Cabrera, Miguel",63,56,15,3,22.2,11.1,0.308,0.196,0.268,0.464,0.349,0.249
"Segura, Jean",62,60,19,2,19.4,1.6,0.37,0.15,0.317,0.467,0.339,0.3
"Gattis, Evan",65,56,18,2,13.8,10.8,0.348,0.196,0.321,0.518,0.4,0.263
"Iglesias, José",63,60,14,1,9.5,3.2,0.245,0.15,0.233,0.383,0.258,0.255
"Decker, Jaff",52,42,8,0,28.8,13.5,0.296,0.071,0.19,0.262,0.32,0.2
"Báez, Javier",62,59,12,1,33.9,,0.289,0.136,0.203,0.339,0.213,0.273
"Lucroy, Jonathan",66,63,13,1,7.6,3,0.211,0.079,0.206,0.286,0.242,0.265
"Mancini, Trey",53,51,11,5,35.8,3.8,0.222,0.333,0.216,0.549,0.245,0.293
"Frazier, Adam",54,49,15,1,13,7.4,0.341,0.143,0.306,0.449,0.37,0.276
"Martin, Leonys",58,54,6,0,24.1,5.2,0.15,0.019,0.111,0.13,0.172,0.172
"Piña, Manny",52,48,18,1,9.6,7.7,0.405,0.188,0.375,0.563,0.423,0.279
"Barnhart, Tucker",68,63,17,0,19.1,4.4,0.34,0.063,0.27,0.333,0.303,0.27
"Peterson, Jace",56,51,13,0,21.4,8.9,0.333,0.098,0.255,0.353,0.321,0.215
"Tulowitzki, Troy",60,57,15,1,10,3.3,0.275,0.123,0.263,0.386,0.283,0.249
"Pearce, Steve",57,54,9,0,29.8,5.3,0.243,0,0.167,0.167,0.211,0.252
"Smith, Seth",49,42,10,2,16.3,10.2,0.25,0.238,0.238,0.476,0.347,0.258
"Davis, Rajai",61,56,12,1,19.7,6.6,0.25,0.161,0.214,0.375,0.262,0.235
"Iannetta, Chris",48,43,9,2,25,8.3,0.241,0.163,0.209,0.372,0.292,0.254
"Hernández, Marco",54,52,15,0,24.1,1.9,0.385,0.038,0.288,0.327,0.315,0.276
"Romine, Andrew",59,56,14,1,22,3.4,0.31,0.125,0.25,0.375,0.288,0.233
"Dietrich, Derek",54,46,10,0,20.4,7.4,0.286,0.065,0.217,0.283,0.333,0.249
"Romine, Austin",57,51,16,2,15.8,7,0.333,0.157,0.314,0.471,0.351,0.218
"García, Leury",61,58,18,2,11.5,1.6,0.32,0.19,0.31,0.5,0.328,0.27
"Semien, Marcus",46,35,6,0,23.9,21.7,0.25,0.057,0.171,0.229,0.37,0.249
"Bandy, Jett",53,49,16,4,20.8,5.7,0.353,0.306,0.327,0.633,0.377,0.207
"Hernández, Enrique",52,47,11,2,13.5,7.7,0.231,0.298,0.234,0.532,0.288,0.215
"Weeks Jr., Rickie",47,39,7,1,46.8,10.6,0.375,0.128,0.179,0.308,0.319,0.216
"Wolters, Tony",53,50,18,0,20.8,3.8,0.462,0.1,0.36,0.46,0.396,0.24
"Jay, Jon",47,39,15,0,21.3,12.8,0.517,0.103,0.385,0.487,0.478,0.296
"Flowers, Tyler",54,46,18,0,20.4,13,0.514,0.043,0.391,0.435,0.481,0.281
"Jaso, John",49,42,6,1,26.5,14.3,0.179,0.095,0.143,0.238,0.265,0.211
"d'Arnaud, Travis",58,53,12,4,17.2,6.9,0.205,0.302,0.226,0.528,0.293,0.244
"Hundley, Nick",54,52,10,0,24.1,,0.25,0.135,0.192,0.327,0.189,0.244
"Descalso, Daniel",51,45,8,2,25.5,11.8,0.2,0.156,0.178,0.333,0.275,0.233
"Almora Jr., Albert",53,47,13,2,17,9.4,0.306,0.191,0.277,0.468,0.346,0.298
"Marte, Jefry",56,51,9,2,28.6,7.1,0.212,0.157,0.176,0.333,0.25,0.173
"Kemp, Matt",58,56,18,6,24.1,3.4,0.333,0.411,0.321,0.732,0.345,0.276
"Garneau, Dustin",50,46,9,1,38,4,0.308,0.174,0.196,0.37,0.245,0.188
"Duda, Lucas",48,42,10,4,31.3,12.5,0.261,0.333,0.238,0.571,0.333,0.217
"Rojas, Miguel",54,47,12,0,11.1,9.3,0.286,0.064,0.255,0.319,0.321,0.29
"Span, Denard",53,50,10,0,13.2,5.7,0.233,0.08,0.2,0.28,0.245,0.272
"Torreyes, Ronald",67,67,21,1,9,,0.333,0.119,0.313,0.433,0.313,0.292
"Barney, Darwin",51,48,14,0,23.5,5.9,0.389,0.021,0.292,0.313,0.333,0.232
"Jones, JaCoby",45,40,6,1,42.2,8.9,0.25,0.15,0.15,0.3,0.244,0.17
"Utley, Chase",46,41,5,0,13,10.9,0.143,0.024,0.122,0.146,0.217,0.236
"Goins, Ryan",49,45,9,1,16.3,8.2,0.222,0.133,0.2,0.333,0.265,0.237
"León, Sandy",51,50,9,1,15.7,2,0.195,0.1,0.18,0.28,0.196,0.225
"Kendrick, Howie",43,39,13,0,20.9,9.3,0.433,0.154,0.333,0.487,0.395,0.315
"Heredia, Guillermo",52,49,16,2,9.6,5.8,0.333,0.163,0.327,0.49,0.365,0.249
