Name,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_K%,MarApr_BB%,MarApr_BABIP,MarApr_ISO,MarApr_AVG,MarApr_SLG,MarApr_OBP,FullSeason_AVG
"Schwarber, Kyle",110,93,19,3,31.8,13.6,0.291,0.14,0.204,0.344,0.327,0.211
"Bautista, José",109,90,16,1,27.5,13.8,0.246,0.067,0.178,0.244,0.303,0.203
"Goldschmidt, Paul",115,92,29,4,16.5,17.4,0.362,0.207,0.315,0.522,0.452,0.297
"Bryant, Kris",115,97,28,4,21.7,13.9,0.348,0.227,0.289,0.515,0.391,0.295
"Trout, Mike",112,99,36,7,20.5,9.8,0.414,0.343,0.364,0.707,0.429,0.306
"Santana, Carlos",113,98,22,2,11.5,13.3,0.241,0.143,0.224,0.367,0.327,0.259
"Blackmon, Charlie",118,107,31,7,17.8,6.8,0.3,0.299,0.29,0.589,0.336,0.331
"Belt, Brandon",110,92,23,4,26.4,16.4,0.322,0.217,0.25,0.467,0.373,0.241
"Rendon, Anthony",101,90,25,3,18.8,10.9,0.324,0.133,0.278,0.411,0.356,0.301
"Kiermaier, Kevin",112,100,22,1,28.6,8.9,0.313,0.08,0.22,0.3,0.297,0.276
"Encarnación, Edwin",105,85,17,4,33.3,16.2,0.277,0.153,0.2,0.353,0.343,0.258
"Thames, Eric",102,84,29,11,22.5,16.7,0.36,0.464,0.345,0.81,0.461,0.247
"Harper, Bryce",109,92,36,9,18.3,15.6,0.429,0.38,0.391,0.772,0.486,0.319
"Myers, Wil",117,113,35,7,29.1,1.7,0.384,0.283,0.31,0.593,0.325,0.243
"Longoria, Evan",113,101,21,4,24.8,9.7,0.243,0.168,0.208,0.376,0.283,0.261
"Escobar, Yunel",115,107,25,2,11.3,7,0.25,0.103,0.234,0.336,0.287,0.274
"Miller, Brad",105,88,20,1,27.6,16.2,0.328,0.136,0.227,0.364,0.352,0.201
"Eaton, Adam",107,91,27,2,16.8,13.1,0.347,0.165,0.297,0.462,0.393,0.297
"Villar, Jonathan",116,107,22,3,31.9,7.8,0.284,0.121,0.206,0.327,0.267,0.241
"Cruz, Nelson",108,89,28,7,21.3,13.9,0.339,0.303,0.315,0.618,0.407,0.288
"Story, Trevor",103,90,15,6,37.9,12.6,0.2,0.244,0.167,0.411,0.272,0.239
"Castellanos, Nick",108,98,24,3,28.7,8.3,0.328,0.214,0.245,0.459,0.315,0.272
"LeMahieu, DJ",109,95,25,1,12.8,11.9,0.3,0.105,0.263,0.368,0.358,0.31
"Souza Jr., Steven",108,94,31,4,25.9,11.1,0.435,0.213,0.33,0.543,0.411,0.239
"Pollock, AJ",112,105,34,2,15.2,6.3,0.372,0.162,0.324,0.486,0.366,0.266
"Reynolds, Mark",105,94,28,8,21.9,9.5,0.313,0.309,0.298,0.606,0.362,0.267
"Kinsler, Ian",103,87,18,3,15.5,14.6,0.221,0.149,0.207,0.356,0.33,0.236
"Hamilton, Billy",103,94,20,0,18.4,6.8,0.263,0.032,0.213,0.245,0.265,0.247
"Ramírez, José",103,91,30,6,14.6,9.7,0.333,0.264,0.33,0.593,0.388,0.318
"Sanó, Miguel",96,79,25,7,33.3,17.7,0.45,0.367,0.316,0.684,0.438,0.264
"Rizzo, Anthony",112,96,25,6,12.5,9.8,0.25,0.24,0.26,0.5,0.366,0.273
"Pence, Hunter",106,94,25,1,18.9,8.5,0.32,0.074,0.266,0.34,0.33,0.26
"Arenado, Nolan",110,99,29,7,13.6,7.3,0.282,0.323,0.293,0.616,0.355,0.309
"Canó, Robinson",112,103,26,4,13.4,7.1,0.259,0.175,0.252,0.427,0.304,0.28
"Pujols, Albert",109,104,24,3,20.2,3.7,0.263,0.115,0.231,0.346,0.257,0.241
"Calhoun, Kole",112,102,26,2,20.5,7.1,0.312,0.088,0.255,0.343,0.321,0.244
"Moreland, Mitch",98,88,24,2,23.5,9.2,0.349,0.205,0.273,0.477,0.347,0.246
"Pillar, Kevin",110,103,31,4,14.5,4.5,0.325,0.204,0.301,0.505,0.339,0.256
"Margot, Manuel",116,111,29,3,19.8,4.3,0.306,0.144,0.261,0.405,0.293,0.263
"Seager, Corey",106,91,29,5,19.8,13.2,0.364,0.231,0.319,0.549,0.406,0.295
"Mazara, Nomar",102,96,22,4,18.6,4.9,0.247,0.156,0.229,0.385,0.275,0.253
"Granderson, Curtis",92,86,11,1,22.8,5.4,0.154,0.093,0.128,0.221,0.174,0.212
"Fowler, Dexter",104,94,22,4,24,7.7,0.273,0.181,0.234,0.415,0.298,0.264
"Machado, Manny",101,85,19,4,17.8,14.9,0.234,0.2,0.224,0.424,0.337,0.259
"Gallo, Joey",94,80,17,7,34,12.8,0.244,0.338,0.213,0.55,0.33,0.209
"Lindor, Francisco",107,94,29,7,15,9.3,0.301,0.33,0.309,0.638,0.368,0.273
"Cain, Lorenzo",95,81,22,1,18.9,13.7,0.339,0.086,0.272,0.358,0.379,0.3
"Gordon, Alex",97,87,16,0,21.6,7.2,0.242,0.034,0.184,0.218,0.268,0.208
"Yelich, Christian",104,97,28,4,17.3,4.8,0.312,0.134,0.289,0.423,0.317,0.282
"Martinez, Victor",96,87,19,1,15.6,7.3,0.25,0.057,0.218,0.276,0.281,0.255
"Schimpf, Ryan",93,74,11,6,30.1,18.3,0.119,0.257,0.149,0.405,0.301,0.158
"Lamb, Jake",105,95,27,5,29.5,7.6,0.367,0.221,0.284,0.505,0.343,0.248
"Hernandez, Cesar",104,96,31,4,25,7.7,0.409,0.208,0.323,0.531,0.375,0.294
"Lowrie, Jed",99,89,26,2,14.1,9.1,0.324,0.146,0.292,0.438,0.354,0.277
"Morales, Kendrys",104,97,22,4,21.2,5.8,0.254,0.155,0.227,0.381,0.279,0.25
"Correa, Carlos",96,86,20,2,24,7.3,0.29,0.116,0.233,0.349,0.302,0.315
"Markakis, Nick",98,87,27,1,21.4,8.2,0.394,0.126,0.31,0.437,0.378,0.275
"Napoli, Mike",96,89,13,3,31.3,4.2,0.179,0.135,0.146,0.281,0.208,0.193
"Suárez, Eugenio",94,82,27,5,17,11.7,0.361,0.28,0.329,0.61,0.415,0.26
"Davis, Khris",98,82,22,10,29.6,14.3,0.267,0.39,0.268,0.659,0.367,0.247
"Russell, Addison",103,97,25,2,17.5,5.8,0.299,0.144,0.258,0.402,0.301,0.239
"Stanton, Giancarlo",99,87,23,7,27.3,11.1,0.296,0.264,0.264,0.529,0.343,0.281
"Headley, Chase",97,83,25,3,19.6,14.4,0.361,0.193,0.301,0.494,0.402,0.273
"Jones, Adam",103,94,29,4,16.5,7.8,0.342,0.17,0.309,0.479,0.369,0.285
"Gómez, Carlos",109,94,23,4,22.9,10.1,0.288,0.213,0.245,0.457,0.333,0.255
"Cozart, Zack",85,71,25,1,20,15.3,0.444,0.254,0.352,0.606,0.447,0.297
"Seager, Kyle",88,75,19,1,18.2,11.4,0.3,0.133,0.253,0.387,0.341,0.249
"Shaw, Travis",97,90,23,5,20.6,5.2,0.273,0.278,0.256,0.533,0.299,0.273
"García, Adonis",94,90,20,2,14.9,4.3,0.243,0.089,0.222,0.311,0.255,0.237
"Carpenter, Matt",88,70,17,3,22.7,17,0.286,0.171,0.243,0.414,0.375,0.241
"Panik, Joe",95,83,25,1,11.6,9.5,0.329,0.108,0.301,0.41,0.368,0.288
"Bregman, Alex",98,84,21,0,18.4,9.2,0.313,0.06,0.25,0.31,0.34,0.284
"Castro, Starlin",98,91,32,5,16.3,7.1,0.386,0.198,0.352,0.549,0.398,0.3
